Food,Type,GI,Sugar_g,Iron_mg,Sodium_mg,Cholesterol_mg,Fiber_g,Fat_g,Protein_g,Calories,Age,Label,Disease
Soda,Veg,23,15.9,0.3,262,115,11.5,7.2,19.5,211,16,Avoid,Obesity
Salt,Veg,41,15.1,2.8,408,80,10.3,13.0,21.9,540,12,Avoid,Obesity
Tea,Veg,57,13.7,3.8,180,3,2.7,1.2,6.0,545,75,Recommended,Tonsillitis
Beetroot,Veg,88,2.1,0.0,67,74,2.4,15.9,13.8,408,41,Avoid,Renal Stone
Chips,Veg,76,3.5,6.8,255,97,5.8,1.6,10.4,386,63,Recommended,Bronchitis
Almonds,Veg,63,11.2,6.0,23,149,7.8,4.4,14.3,322,60,Avoid,Renal Stone
Brown Rice,Veg,67,0.1,3.5,52,130,6.5,23.8,16.5,166,79,Avoid,Diabetes
Mushroom,Veg,76,15.4,2.6,238,131,3.8,16.1,23.5,167,26,Recommended,Tonsillitis
Honey,Veg,43,11.5,7.5,370,14,1.6,8.8,15.7,107,42,Avoid,Diabetes
Salt,Veg,37,6.0,8.3,226,91,4.6,18.6,19.4,101,40,Recommended,Tonsillitis
Chips,Veg,63,9.9,9.9,18,3,3.4,0.4,7.6,187,20,Recommended,Obesity
Ice Cream,Veg,25,18.5,1.4,66,76,9.9,19.2,0.6,64,26,Avoid,Obesity
Carrot,Veg,29,10.4,1.6,237,134,1.2,8.5,8.2,379,20,Recommended,Diabetes
Coffee,Veg,46,11.5,5.4,43,49,4.1,14.1,1.2,154,66,Recommended,Anemia
Carrot,Veg,62,18.3,3.6,224,108,8.6,3.3,24.1,252,61,Recommended,Anemia
Fish,Non-Veg,61,8.9,4.5,345,89,6.0,24.4,2.4,221,16,Recommended,Bronchitis
Pizza,Veg,64,1.3,1.8,198,59,5.0,5.4,24.2,393,30,Recommended,Tonsillitis
Berries,Veg,89,9.1,1.0,327,38,2.2,4.2,8.9,184,15,Recommended,Bronchitis
Soda,Veg,44,5.1,7.7,73,120,6.3,23.2,20.0,452,36,Avoid,Diabetes
Salt,Veg,86,15.1,0.8,408,120,7.9,19.2,11.0,365,21,Recommended,Asthma
Fruit Juice,Veg,45,15.5,5.7,255,5,10.6,12.1,23.6,454,36,Avoid,Obesity
Pasta,Veg,90,18.9,4.5,43,19,4.4,21.3,1.5,523,40,Avoid,Diabetes
White Bread,Veg,52,19.4,4.7,165,110,4.9,13.3,6.6,344,16,Recommended,Renal Stone
Ginger,Veg,28,19.9,8.0,176,35,8.8,15.6,1.5,348,71,Recommended,Asthma
Cheese,Veg,44,12.9,2.0,392,24,3.8,2.7,21.4,453,18,Avoid,Asthma
Soy Milk,Veg,32,3.0,4.9,455,88,11.5,0.8,15.2,350,38,Recommended,Asthma
Cabbage,Veg,76,3.4,9.8,453,126,11.9,14.0,12.5,129,35,Avoid,Hypertension
Almonds,Veg,78,19.6,4.2,344,27,8.6,20.7,16.0,71,32,Avoid,Hypertension
Quinoa,Veg,32,14.9,3.3,19,47,10.7,24.5,18.2,118,46,Recommended,Asthma
Coffee,Veg,88,19.0,9.5,289,76,4.6,17.4,18.0,592,26,Recommended,Bronchitis
Tea,Veg,74,15.2,9.2,147,59,7.3,10.2,3.8,181,50,Recommended,Bronchitis
Pasta,Veg,80,0.7,2.8,367,72,9.4,18.4,13.9,416,69,Recommended,Tonsillitis
Quinoa,Veg,48,9.5,8.4,353,82,0.1,24.1,8.6,118,23,Avoid,Hypertension
Fruit Juice,Veg,54,8.0,0.6,66,69,3.1,15.0,20.8,467,19,Recommended,Hypertension
Soy Milk,Veg,31,4.5,5.5,368,29,0.3,19.9,9.8,96,34,Recommended,Tonsillitis
Beetroot,Veg,86,3.4,4.9,175,49,4.0,9.4,3.8,323,23,Recommended,Asthma
Ginger,Veg,38,13.7,4.0,99,16,9.4,23.5,21.5,73,69,Avoid,Obesity
Dark Chocolate,Veg,55,4.0,5.9,350,116,9.6,0.4,2.4,165,52,Avoid,Hypertension
Salt,Veg,80,4.3,5.0,102,139,5.4,16.2,14.2,90,73,Recommended,Tonsillitis
Almonds,Veg,46,6.8,2.4,46,133,11.4,14.6,15.5,237,62,Recommended,Asthma
Pizza,Veg,49,18.3,7.1,416,78,5.8,17.8,4.3,259,54,Recommended,Tonsillitis
Burger,Veg,81,13.3,6.4,493,50,10.5,15.5,0.6,509,48,Recommended,Anemia
Walnuts,Veg,44,19.6,3.2,147,111,4.1,1.0,12.2,525,43,Avoid,Obesity
Ginger,Veg,26,18.4,7.6,415,116,9.1,0.8,4.1,438,34,Recommended,Bronchitis
Sweet Potato,Veg,49,7.3,2.9,394,118,9.0,8.7,17.6,591,37,Recommended,Asthma
Pasta,Veg,82,10.8,0.8,39,9,0.4,2.3,18.6,299,36,Recommended,Renal Stone
Ginger,Veg,32,7.1,7.0,42,100,10.2,23.2,11.1,300,48,Recommended,Tonsillitis
Berries,Veg,48,2.6,5.4,203,50,3.9,24.8,11.8,438,10,Avoid,Cholesterol
Chicken Breast,Non-Veg,85,6.3,3.6,151,27,0.3,9.1,4.6,438,57,Recommended,Tonsillitis
Sugar,Veg,80,3.9,2.1,441,102,9.9,13.7,23.4,461,43,Avoid,Obesity
Carrot,Veg,23,16.9,6.8,219,35,1.6,8.0,12.3,476,30,Recommended,Cholesterol
Sweet Potato,Veg,51,2.5,8.0,356,93,5.5,10.8,18.3,165,63,Avoid,Hypertension
Burger,Veg,60,15.4,10.0,463,42,8.9,20.1,7.6,340,73,Avoid,Cholesterol
Walnuts,Veg,28,0.6,5.3,460,149,10.1,17.9,20.0,500,76,Recommended,Renal Stone
Brown Rice,Veg,24,5.5,8.2,498,138,10.9,3.7,24.5,565,27,Recommended,Diabetes
Eggs,Non-Veg,61,2.1,7.6,371,39,10.7,8.6,22.7,65,43,Recommended,Cholesterol
Fruit Juice,Veg,39,3.1,4.4,172,146,4.3,18.0,10.4,531,78,Recommended,Bronchitis
Apple,Veg,85,12.1,7.0,266,72,2.9,6.6,9.1,466,33,Avoid,Diabetes
Cucumber,Veg,41,13.6,9.8,259,48,9.0,9.0,15.1,600,72,Avoid,Obesity
Brown Rice,Veg,45,18.2,2.6,287,6,10.6,24.2,18.1,597,10,Recommended,Bronchitis
Mushroom,Veg,59,16.1,3.7,135,21,10.9,16.8,12.4,484,57,Recommended,Tonsillitis
Coffee,Veg,38,12.7,5.5,305,11,1.9,13.8,12.1,271,56,Recommended,Tonsillitis
Beetroot,Veg,44,1.9,5.2,295,50,9.3,10.2,22.0,140,10,Avoid,Renal Stone
Green Tea,Veg,61,0.2,1.1,216,144,2.1,8.9,22.5,592,33,Recommended,Bronchitis
Ice Cream,Veg,39,19.7,5.8,334,131,8.0,19.1,14.7,470,27,Avoid,Diabetes
Ginger,Veg,53,19.6,3.8,375,6,1.3,8.0,16.0,72,36,Recommended,Anemia
Garlic,Veg,45,4.6,0.8,180,82,10.0,24.8,15.2,312,78,Recommended,Renal Stone
Berries,Veg,23,12.6,6.5,189,139,10.4,18.0,24.7,284,63,Recommended,Tonsillitis
Cheese,Veg,21,18.0,7.4,369,40,11.7,5.2,20.2,503,77,Recommended,Tonsillitis
Pizza,Veg,79,16.8,9.3,280,29,9.6,15.3,18.4,492,66,Avoid,Obesity
Butter,Veg,39,10.5,3.5,30,75,1.7,13.8,23.0,262,78,Avoid,Diabetes
Chicken Breast,Non-Veg,27,15.9,1.8,172,26,3.9,5.0,6.4,473,30,Recommended,Tonsillitis
Sugar,Veg,52,12.6,4.5,377,127,3.0,2.8,6.7,144,77,Avoid,Cholesterol
Pizza,Veg,53,0.3,2.2,293,63,0.3,11.7,17.2,374,61,Avoid,Obesity
Ice Cream,Veg,34,6.4,1.9,269,139,5.7,21.2,18.5,405,72,Avoid,Bronchitis
Banana,Veg,87,0.7,7.0,171,29,6.9,15.8,0.4,585,16,Recommended,Hypertension
Tomato,Veg,75,17.1,7.7,84,72,11.2,10.1,24.8,389,19,Recommended,Tonsillitis
Olive Oil,Veg,56,9.1,0.7,113,108,9.7,13.4,15.8,373,17,Avoid,Cholesterol
Pizza,Veg,24,13.8,8.9,311,122,2.8,24.4,5.4,241,69,Recommended,Renal Stone
Orange,Veg,62,13.4,0.0,324,31,4.4,13.7,0.9,524,16,Avoid,Hypertension
Broccoli,Veg,70,13.6,7.6,161,148,7.2,5.0,21.7,423,50,Avoid,Cholesterol
Orange,Veg,69,0.8,0.6,436,67,3.1,17.3,15.9,590,80,Recommended,Tonsillitis
Broccoli,Veg,43,14.1,2.0,198,42,11.0,10.6,22.0,450,45,Recommended,Asthma
Onion,Veg,30,5.8,1.8,5,61,2.5,6.3,13.5,96,53,Recommended,Renal Stone
Chicken Breast,Non-Veg,75,7.5,0.8,219,67,7.2,2.7,10.3,212,56,Avoid,Hypertension
Potato,Veg,50,5.6,9.4,83,42,11.7,9.6,17.9,427,62,Recommended,Hypertension
Garlic,Veg,76,3.3,3.0,384,106,1.0,12.3,10.5,134,66,Avoid,Hypertension
Sugar,Veg,62,18.5,6.3,473,0,2.3,21.1,5.5,327,74,Recommended,Asthma
Carrot,Veg,35,10.3,0.8,187,107,7.0,5.1,11.7,433,72,Recommended,Hypertension
Banana,Veg,35,9.0,6.7,211,110,6.2,20.0,4.6,60,75,Recommended,Asthma
Beetroot,Veg,55,6.9,4.2,326,138,4.7,24.9,17.1,513,69,Recommended,Tonsillitis
Tomato,Veg,58,5.6,2.7,233,32,9.5,12.8,16.3,444,47,Recommended,Diabetes
Quinoa,Veg,58,8.8,7.9,62,81,8.4,24.6,8.4,322,77,Recommended,Tonsillitis
Ginger,Veg,70,13.9,1.7,393,41,4.2,1.1,5.3,123,44,Recommended,Cholesterol
Salt,Veg,86,6.9,0.0,410,131,4.6,11.6,4.7,278,35,Recommended,Bronchitis
Potato,Veg,63,8.1,9.2,426,144,9.8,17.4,22.9,255,12,Avoid,Cholesterol
Eggs,Non-Veg,60,18.4,6.5,333,148,7.3,24.1,13.0,137,61,Avoid,Obesity
Sugar,Veg,70,15.9,2.1,385,118,11.2,1.9,17.6,285,77,Avoid,Hypertension
Milk,Veg,39,19.9,8.1,310,62,12.0,17.6,16.4,443,20,Avoid,Obesity
Pasta,Veg,28,5.9,6.4,195,6,4.2,20.0,6.2,248,40,Recommended,Hypertension
Honey,Veg,67,6.7,0.1,420,59,10.4,22.9,12.6,123,69,Avoid,Anemia
Banana,Veg,23,7.1,1.7,255,96,4.6,19.9,4.4,490,63,Avoid,Obesity
Yogurt,Veg,35,10.1,8.3,147,38,7.8,7.3,12.5,119,75,Recommended,Tonsillitis
Tofu,Veg,87,8.4,0.1,319,27,6.0,11.0,20.7,379,11,Recommended,Asthma
Cabbage,Veg,85,14.4,1.4,472,104,2.1,2.5,5.2,240,36,Recommended,Tonsillitis
Tea,Veg,72,14.7,5.1,139,90,11.0,20.0,21.0,588,15,Recommended,Bronchitis
Eggs,Non-Veg,44,17.5,9.7,299,150,10.4,2.4,0.9,435,72,Recommended,Renal Stone
White Bread,Veg,87,6.7,6.1,149,27,8.0,14.4,1.7,429,63,Avoid,Diabetes
Brown Rice,Veg,60,16.1,8.2,192,45,12.0,13.2,19.6,537,60,Recommended,Anemia
Quinoa,Veg,74,4.2,7.9,13,82,11.0,21.1,22.8,571,70,Recommended,Diabetes
Spinach,Veg,81,8.9,8.5,259,106,5.3,4.6,4.8,171,57,Recommended,Tonsillitis
Oats,Veg,72,2.4,4.4,117,94,5.8,15.8,10.4,185,61,Avoid,Cholesterol
Honey,Veg,85,6.4,6.7,389,125,8.1,21.6,18.9,98,51,Avoid,Obesity
Burger,Veg,56,8.7,4.7,285,125,0.6,5.4,10.6,358,38,Recommended,Anemia
Spinach,Veg,70,18.5,3.9,430,50,11.0,20.3,4.6,566,75,Recommended,Bronchitis
Salt,Veg,90,18.6,7.9,167,0,2.0,0.8,16.9,264,69,Recommended,Cholesterol
Apple,Veg,43,4.5,9.7,84,140,1.8,19.7,19.7,525,25,Avoid,Cholesterol
Milk,Veg,54,13.2,9.5,47,136,1.2,10.7,23.9,562,33,Avoid,Asthma
Orange,Veg,35,13.2,4.5,307,108,2.8,8.9,8.8,283,38,Recommended,Asthma
Potato,Veg,26,2.4,0.0,499,87,5.7,1.0,2.4,244,23,Recommended,Asthma
Ice Cream,Veg,75,5.2,7.1,154,13,11.2,3.9,5.3,524,60,Recommended,Renal Stone
Garlic,Veg,48,3.7,1.4,324,110,9.0,24.3,15.1,413,43,Recommended,Diabetes
Dark Chocolate,Veg,55,14.3,8.0,483,54,8.6,23.9,4.5,520,36,Avoid,Cholesterol
Banana,Veg,47,13.0,2.7,114,109,0.2,24.4,15.6,108,62,Avoid,Diabetes
Fish,Non-Veg,71,7.5,1.8,239,118,5.4,19.1,22.0,418,57,Avoid,Diabetes
Peanuts,Veg,69,16.7,1.2,284,142,6.4,16.2,1.6,144,74,Avoid,Obesity
White Bread,Veg,76,1.1,9.6,406,58,8.3,16.5,4.8,63,43,Recommended,Renal Stone
Soda,Veg,23,15.8,0.7,433,70,9.3,12.8,17.7,291,50,Avoid,Diabetes
Butter,Veg,90,17.5,0.2,459,115,2.8,23.6,7.5,352,55,Avoid,Anemia
Carrot,Veg,90,15.8,4.6,325,118,9.1,24.2,16.4,597,78,Recommended,Tonsillitis
Lentils,Veg,26,19.9,2.0,387,80,1.0,1.9,21.3,286,31,Avoid,Obesity
Walnuts,Veg,40,16.2,9.2,13,1,0.2,5.2,23.0,319,66,Recommended,Tonsillitis
Beetroot,Veg,79,1.4,8.0,402,44,6.8,11.0,11.2,444,45,Avoid,Cholesterol
Tomato,Veg,90,12.5,6.4,63,116,11.7,6.8,0.1,534,49,Avoid,Obesity
Soy Milk,Veg,83,12.6,1.3,456,62,1.7,9.0,16.3,455,51,Avoid,Hypertension
Lentils,Veg,81,10.2,5.8,173,128,2.9,23.9,19.0,408,24,Recommended,Asthma
Orange,Veg,61,0.7,5.3,283,64,7.1,22.9,12.8,357,17,Avoid,Cholesterol
Yogurt,Veg,57,10.0,1.3,289,79,3.6,11.0,14.9,200,21,Avoid,Asthma
Broccoli,Veg,54,19.7,7.8,200,135,5.1,17.1,24.3,86,47,Avoid,Hypertension
Carrot,Veg,62,2.4,6.5,396,58,1.7,10.9,5.9,372,40,Recommended,Asthma
Cabbage,Veg,45,0.4,9.0,335,48,6.1,7.2,20.2,528,51,Recommended,Diabetes
Pasta,Veg,52,2.6,9.5,153,51,7.9,1.7,5.0,367,45,Avoid,Cholesterol
Potato,Veg,85,10.2,0.9,260,137,3.0,3.6,16.2,543,16,Avoid,Diabetes
Burger,Veg,22,0.1,1.4,261,118,0.6,6.1,19.4,566,16,Avoid,Anemia
Tofu,Veg,65,19.4,3.4,339,21,4.5,0.4,7.8,82,13,Recommended,Diabetes
Cucumber,Veg,86,5.3,7.3,298,83,8.9,10.4,15.4,351,26,Recommended,Tonsillitis
White Bread,Veg,47,18.3,1.2,488,4,2.0,12.5,8.3,499,54,Avoid,Obesity
Beetroot,Veg,24,12.0,0.5,422,103,10.2,10.5,0.3,572,24,Avoid,Cholesterol
Green Tea,Veg,23,16.9,7.1,234,79,0.0,8.4,6.3,339,61,Recommended,Anemia
Berries,Veg,82,12.6,6.6,360,150,8.4,3.1,23.9,452,19,Recommended,Tonsillitis
Fish,Non-Veg,61,8.5,3.5,443,38,1.9,9.4,11.6,78,24,Avoid,Hypertension
Cucumber,Veg,34,4.9,6.2,271,134,1.4,17.4,20.9,483,64,Recommended,Renal Stone
Ice Cream,Veg,66,13.8,2.5,178,89,7.2,9.7,19.6,544,25,Avoid,Diabetes
Orange,Veg,87,12.9,7.7,164,17,0.3,18.7,20.9,282,68,Recommended,Bronchitis
Pizza,Veg,36,11.1,0.4,477,116,8.0,23.3,11.4,536,37,Avoid,Anemia
Olive Oil,Veg,21,7.6,10.0,473,7,4.7,2.2,22.0,98,78,Recommended,Asthma
Ice Cream,Veg,38,4.2,5.5,320,44,11.9,0.7,5.7,349,28,Avoid,Tonsillitis
Brown Rice,Veg,58,16.6,6.1,20,41,7.0,11.6,17.3,407,36,Recommended,Tonsillitis
Ginger,Veg,24,5.7,6.8,108,134,4.7,1.0,6.0,205,74,Avoid,Cholesterol
Cheese,Veg,59,9.9,6.4,372,62,0.4,6.9,15.7,564,22,Avoid,Cholesterol
Broccoli,Veg,77,8.1,7.4,338,61,7.9,12.7,18.9,314,51,Avoid,Hypertension
Onion,Veg,25,4.3,9.6,448,134,10.9,0.0,1.5,125,10,Recommended,Tonsillitis
Chicken Breast,Non-Veg,82,18.5,4.7,13,85,0.8,12.6,6.8,501,62,Recommended,Hypertension
Garlic,Veg,22,6.3,6.8,282,11,2.7,7.9,7.1,380,68,Recommended,Asthma
Oats,Veg,42,2.2,4.3,500,42,0.0,1.6,5.3,219,15,Recommended,Cholesterol
Quinoa,Veg,46,3.0,3.0,18,107,11.6,21.0,16.0,133,70,Avoid,Anemia
Soy Milk,Veg,90,18.6,4.7,391,28,10.5,22.9,10.4,570,14,Recommended,Renal Stone
Soy Milk,Veg,35,2.8,5.3,477,21,9.6,5.9,17.8,280,34,Recommended,Tonsillitis
Beetroot,Veg,74,2.3,9.4,450,63,4.2,7.3,6.5,554,72,Avoid,Obesity
Green Tea,Veg,65,15.1,7.5,344,59,10.6,22.8,6.1,135,37,Recommended,Renal Stone
Almonds,Veg,71,2.8,9.8,252,63,9.5,23.9,1.8,317,25,Recommended,Tonsillitis
Cabbage,Veg,88,17.8,9.9,50,135,2.3,21.0,24.6,210,69,Recommended,Renal Stone
Beetroot,Veg,79,6.6,2.8,200,84,9.9,0.5,15.5,230,26,Recommended,Bronchitis
Chicken Breast,Non-Veg,90,10.8,2.7,174,34,3.8,19.4,0.7,530,42,Recommended,Asthma
Burger,Veg,34,13.5,8.9,108,76,8.3,11.7,11.5,54,17,Recommended,Anemia
Tomato,Veg,31,15.2,5.2,300,25,0.5,23.3,13.5,526,66,Recommended,Bronchitis
Burger,Veg,87,17.3,0.5,405,64,6.7,6.3,16.5,300,13,Avoid,Bronchitis
Ginger,Veg,36,13.6,7.0,32,100,10.0,12.2,6.0,388,19,Recommended,Hypertension
Onion,Veg,28,2.1,3.8,201,59,3.9,2.7,4.4,390,30,Recommended,Renal Stone
Orange,Veg,42,11.0,6.0,335,32,2.4,14.8,3.3,97,33,Recommended,Tonsillitis
Apple,Veg,43,9.6,0.2,423,72,1.0,19.7,6.1,540,39,Avoid,Cholesterol
Lentils,Veg,87,15.5,5.4,202,133,2.8,22.2,13.4,343,80,Recommended,Asthma
Apple,Veg,20,3.4,7.3,317,49,3.5,1.8,16.3,383,43,Avoid,Obesity
Green Tea,Veg,44,5.4,7.9,42,69,0.9,7.3,2.4,170,69,Recommended,Renal Stone
Sweet Potato,Veg,47,11.7,4.7,427,20,4.8,3.2,10.8,184,71,Recommended,Tonsillitis
Orange,Veg,35,11.7,6.7,141,94,10.9,9.3,12.7,160,39,Recommended,Anemia
Yogurt,Veg,88,11.3,4.3,68,7,9.9,7.2,12.0,254,69,Recommended,Bronchitis
Tea,Veg,52,0.8,3.3,11,57,9.3,21.8,2.5,131,67,Recommended,Tonsillitis
Honey,Veg,55,2.3,9.6,225,51,9.4,23.8,22.2,499,13,Recommended,Renal Stone
Burger,Veg,23,9.2,8.0,264,46,1.8,10.6,20.8,285,51,Avoid,Hypertension
Dark Chocolate,Veg,76,12.8,8.2,208,142,3.1,23.5,17.3,587,67,Avoid,Cholesterol
Ice Cream,Veg,70,10.0,1.4,314,131,9.7,19.0,14.6,190,28,Avoid,Cholesterol
Pasta,Veg,71,0.9,3.0,249,41,2.9,7.9,16.4,130,33,Recommended,Tonsillitis
Pizza,Veg,58,8.5,1.6,84,96,1.1,18.3,8.3,232,72,Recommended,Hypertension
Cabbage,Veg,46,2.2,5.3,381,117,1.0,14.1,5.7,214,50,Recommended,Tonsillitis
Coffee,Veg,46,1.0,6.2,127,32,11.7,24.4,19.6,238,33,Recommended,Hypertension
Peanuts,Veg,37,12.8,9.6,408,64,2.9,2.4,4.9,256,25,Recommended,Asthma
Broccoli,Veg,45,6.8,0.7,264,36,9.8,1.3,1.5,527,45,Recommended,Diabetes
Orange,Veg,63,4.1,5.7,50,46,12.0,3.9,24.7,298,13,Recommended,Obesity
Garlic,Veg,55,2.8,5.8,189,68,6.9,3.9,14.0,191,64,Recommended,Tonsillitis
Coffee,Veg,38,15.0,3.8,340,89,6.1,9.2,1.5,573,56,Avoid,Cholesterol
Ice Cream,Veg,88,0.8,0.8,49,90,2.5,22.8,12.1,313,12,Recommended,Renal Stone
Brown Rice,Veg,24,1.7,7.6,217,61,9.2,1.5,6.0,306,28,Recommended,Anemia
White Bread,Veg,29,11.3,2.4,135,22,8.9,10.4,21.0,56,72,Recommended,Asthma
Pasta,Veg,43,13.2,9.9,243,119,7.7,15.7,16.6,270,19,Recommended,Asthma
Beetroot,Veg,53,13.9,5.5,370,32,0.2,12.6,24.4,215,54,Recommended,Bronchitis
Pizza,Veg,74,19.9,8.9,6,87,0.8,10.0,1.3,416,73,Recommended,Anemia
Tofu,Veg,84,0.7,5.5,311,92,5.9,18.6,23.9,489,13,Recommended,Diabetes
Oats,Veg,55,17.0,0.2,50,82,9.2,15.0,7.3,570,73,Recommended,Tonsillitis
Tea,Veg,38,5.6,4.4,135,86,4.2,21.4,8.7,421,28,Recommended,Hypertension
Mushroom,Veg,84,2.3,0.0,247,123,8.4,6.9,12.8,502,65,Avoid,Anemia
Milk,Veg,69,10.9,5.2,241,55,12.0,17.8,0.1,515,14,Recommended,Bronchitis
Cabbage,Veg,75,4.0,8.6,101,140,11.8,5.5,9.0,524,64,Avoid,Diabetes
Honey,Veg,48,15.9,9.5,67,147,4.7,1.3,19.4,447,34,Recommended,Renal Stone
Pasta,Veg,58,4.3,0.5,313,31,8.3,10.4,18.5,404,75,Recommended,Renal Stone
Chips,Veg,83,3.0,6.5,195,120,7.1,24.5,1.3,305,21,Recommended,Bronchitis
Tofu,Veg,84,2.1,7.1,230,5,11.7,7.9,8.9,58,33,Recommended,Asthma
Cabbage,Veg,53,3.7,3.3,137,45,5.6,15.1,8.9,231,52,Recommended,Bronchitis
Cheese,Veg,55,6.5,7.6,247,127,6.6,7.7,2.7,99,40,Recommended,Obesity
Burger,Veg,21,11.7,2.5,480,55,0.3,13.6,11.5,313,31,Avoid,Bronchitis
Eggs,Non-Veg,57,12.4,2.2,120,63,3.1,14.9,5.2,500,66,Recommended,Hypertension
Green Tea,Veg,48,0.8,4.2,35,104,4.0,0.6,14.6,279,34,Recommended,Hypertension
Sweet Potato,Veg,64,17.9,4.4,203,118,10.2,9.2,6.1,355,58,Recommended,Tonsillitis
Tofu,Veg,79,17.8,3.6,409,95,10.6,10.0,8.1,105,55,Recommended,Anemia
Tea,Veg,26,14.5,4.3,417,97,11.8,3.7,22.7,400,35,Recommended,Anemia
Lentils,Veg,23,6.6,1.3,95,132,8.3,15.3,19.1,531,24,Avoid,Obesity
Ice Cream,Veg,84,11.9,8.3,437,93,5.9,24.2,20.8,572,58,Avoid,Tonsillitis
Berries,Veg,77,15.9,5.6,184,130,4.2,2.2,1.9,510,50,Avoid,Obesity
Chicken Breast,Non-Veg,52,17.2,2.8,474,18,1.3,1.1,0.3,569,71,Recommended,Bronchitis
Fish,Non-Veg,85,11.8,3.9,342,6,4.1,8.7,9.6,404,34,Avoid,Diabetes
Green Tea,Veg,50,12.8,8.6,294,42,7.5,0.9,14.4,576,29,Recommended,Tonsillitis
Fish,Non-Veg,36,19.0,7.8,115,28,4.5,15.3,4.4,489,10,Avoid,Obesity
Sweet Potato,Veg,50,16.4,6.2,75,5,10.9,18.5,2.4,515,74,Recommended,Renal Stone
Lentils,Veg,59,12.0,0.6,201,83,2.3,1.7,12.8,370,38,Avoid,Obesity
Eggs,Non-Veg,42,19.3,5.0,492,142,9.2,15.7,1.3,366,32,Avoid,Diabetes
Sweet Potato,Veg,69,7.0,2.2,29,40,11.2,10.7,17.0,274,28,Avoid,Anemia
Tomato,Veg,53,11.1,6.5,257,8,7.9,20.3,7.0,234,42,Recommended,Bronchitis
Beetroot,Veg,33,3.6,2.3,483,61,11.3,7.4,5.2,466,66,Avoid,Obesity
Banana,Veg,79,16.0,6.9,497,11,9.5,21.8,24.7,541,24,Avoid,Diabetes
Honey,Veg,50,19.4,4.0,265,97,5.6,3.2,18.9,284,54,Recommended,Bronchitis
Pizza,Veg,85,2.5,1.6,51,30,9.0,11.3,18.9,422,69,Recommended,Hypertension
Quinoa,Veg,46,8.8,2.3,176,137,2.7,24.8,6.2,398,42,Recommended,Bronchitis
White Bread,Veg,31,12.5,6.1,128,102,8.3,3.5,8.4,201,73,Recommended,Hypertension
